System Order,L2 Norm
145.0,19832.59521039766
146.0,19851.176498119323
147.0,19828.594759189065
148.0,19828.069298941602
149.0,19817.007661052317
150.0,19816.961495257325
151.0,19820.11800683185
152.0,19819.440676694565
153.0,19819.22793133322
154.0,19819.517647216755
155.0,19819.011195723215
156.0,19824.19971543532
157.0,19824.932608310195
158.0,19862.661393604038
159.0,19844.85455196695
160.0,19886.295887186032
161.0,19875.580787339648
162.0,19891.211778329773
163.0,19853.646738477746
164.0,19834.48866841276
165.0,19823.61529831774
166.0,19826.989046322396
167.0,19829.576417009754
168.0,19834.48884827064
169.0,19829.227234073758
170.0,19850.97390588401
171.0,19829.152448684803
172.0,19881.49056331211
173.0,19828.612999149478
174.0,19994.824489811923
175.0,19860.680551444977
