Real Part,Frequency (Hz)
-321.95836020310094,78.76993927408635
-349.1566935084155,9121.601108191853
-352.47048217640713,11955.68411570784
-372.0985678527868,20412.079137844517
-386.6996800706038,16734.242331216086
-388.16818529669945,8837.772608561769
-405.17355657305234,11678.372193792533
-406.762141248666,9406.654593217336
-412.56083763493734,20162.457258504928
-424.9798799128548,16472.674428430753
-434.28808758960076,17793.44363169893
-438.4191582472273,513.5969655248152
-448.8596084971359,12217.527109876753
-454.1750844727394,8545.648883033435
-456.01087627012384,17311.019876969556
-459.4031344557952,17002.39945809937
-470.54779966841306,15285.452790623416
-474.34930498588267,1096.6478407540822
-503.867867247769,11038.008808109984
-514.3658610890743,10730.402222444496
-516.7140499034504,18642.61897445118
-530.2839506435284,19101.13940903113
-530.5963079728735,268.0387923448511
-543.2102288513524,18897.62371446549
-547.5067236447503,19727.52881806005
-552.0553007854894,2565.0974969524045
-553.0108494732867,835.835793031342
-557.4696101475192,10459.09760185629
-564.1079477246631,13012.559085124492
-565.5615662240452,19958.67344288057
-573.0798383912152,8245.049752382052
-597.3060321193734,16201.17451592376
-597.4361275251144,4044.4526900690003
-599.1568819510176,5096.75441514418
-614.0394071538831,19515.32745658754
-628.1946136961451,14855.551693157646
-631.8099970903859,12719.569188776555
-633.5835625133623,4319.6441414208475
-637.8039101255254,2260.4881447634984
-642.8926274155347,13648.352129465577
-642.9725742471965,6344.778696947509
-649.1941126100392,6028.869957910354
-655.5403740565598,14264.117354365048
-658.7896681778802,3123.3018067418943
-671.8349298956091,17553.534755893113
-671.9162547666238,18068.296869003403
-675.3286626935478,15575.24476166044
-677.7588506944921,19348.3345273566
-685.9306929676363,2010.9210398118578
-696.5265711809388,12455.916326097076
-699.5139377726111,3647.189900058665
-700.9927889877672,11310.46514072962
-731.3323836605409,9678.14125143256
-767.434907139017,13928.765079740793
-777.1049920567364,1495.2950558229534
-778.7242688021142,18403.632558623915
-782.805258347571,5361.439519646497
-783.023715262434,2852.2105483524806
-798.9180893046068,14562.74408641841
-804.4862082063628,15952.756053323905
-816.3294734158744,6995.558954306145
-831.9286472956262,7304.623082593927
-843.6707536040367,6615.8303509431435
-852.2613902870871,15052.752279014525
-857.6129343118128,4627.402357396372
-879.5724706516341,1759.9090364562487
-879.9167916367915,9861.995851826741
-883.1762511038169,7628.409714015592
-892.358768478316,13273.385656516908
-901.056883782182,5605.796803607802
-914.524014721097,7939.3473860568565
-983.6010370845229,4836.142031689026
-990.3844570322408,3315.0581894095208
-1008.1095763803678,10160.203822488977
-1145.2109511659319,1313.7421712747866
-1156.648978713114,18283.99154862908
-1178.2687684879547,5796.194509860155
-1238.3589610679228,11434.13952158726
-1273.8021004310904,15804.730604074357
-1347.5304547305486,13425.354058766534
-1673.6793812935903,3876.59140425771
-1698.066946911651,6840.26083622545
-1859.598969115807,10136.605525355264
-2086.677793050094,14218.652281895074
-2507.525216045106,7546.487516748319
-2953.7663190201597,8241.014244728367
-4179.532769113444,2864.844242544451
