System Order,L2 Norm
10.0,19885.72250491954
20.0,19986.155353390266
30.0,20579.306359023383
40.0,20970.091559915225
50.0,20261.19813653452
60.0,20101.723495186332
70.0,20377.69288663154
80.0,20771.518883422817
90.0,20845.95464472945
100.0,20276.99849543565
110.0,20454.843889548436
120.0,20352.491745512718
130.0,20465.93332794722
140.0,19943.41607384847
150.0,19816.961495257325
160.0,19886.295887186032
170.0,19850.97390588401
180.0,20307.39050261997
190.0,20890.50501564609
200.0,20775.02900758154
